PhotoID,Order,Condition,GroupPair,StartStruc,Session,Generation,Story,ID,Pillar
83.4.17.3,83,4,Pair,Complex,17,3,1,1,8
83.4.17.3,83,4,Pair,Complex,17,3,1,2,8
144.4.17.4,144,4,Pair,Complex,17,4,2,2,8
144.4.17.4,144,4,Pair,Complex,17,4,2,3,8
24.4.17.5,24,4,Pair,Complex,17,5,3,1,13
24.4.17.5,24,4,Pair,Complex,17,5,3,3,13
4.1.18.1,4,1,Group,Simple,18,1,3,1,4
4.1.18.1,4,1,Group,Simple,18,1,3,3,3
20.1.18.3,20,1,Group,Simple,18,3,4,1,4
20.1.18.3,20,1,Group,Simple,18,3,4,3,4
114.1.18.6,114,1,Group,Simple,18,6,3,2,3
114.1.18.6,114,1,Group,Simple,18,6,3,3,3
29.2.19.2,29,2,Group,Complex,19,2,3,1,5
29.2.19.2,29,2,Group,Complex,19,2,3,3,5
82.2.19.4,82,2,Group,Complex,19,4,4,1,14
82.2.19.4,82,2,Group,Complex,19,4,4,2,14
127.2.19.6,127,2,Group,Complex,19,6,2,2,7
127.2.19.6,127,2,Group,Complex,19,6,2,3,8
73.1.20.1,73,1,Group,Simple,20,1,3,1,5
73.1.20.1,73,1,Group,Simple,20,1,3,2,5
47.1.20.3,47,1,Group,Simple,20,3,3,1,8
47.1.20.3,47,1,Group,Simple,20,3,3,3,8
90.2.21.1,90,2,Group,Complex,21,1,3,1,3
90.2.21.1,90,2,Group,Complex,21,1,3,2,3
137.2.21.2,137,2,Group,Complex,21,2,3,2,3
137.2.21.2,137,2,Group,Complex,21,2,3,3,3
55.2.21.3,55,2,Group,Complex,21,3,4,1,4
55.2.21.3,55,2,Group,Complex,21,3,4,2,5
101.2.21.6,101,2,Group,Complex,21,6,3,2,3
101.2.21.6,101,2,Group,Complex,21,6,3,3,3
87.1.22.2,87,1,Group,Simple,22,2,2,1,12
87.1.22.2,87,1,Group,Simple,22,2,2,2,14
45.1.22.5,45,1,Group,Simple,22,5,2,1,12
45.1.22.5,45,1,Group,Simple,22,5,2,3,12
89.1.22.6,89,1,Group,Simple,22,6,3,1,11
89.1.22.6,89,1,Group,Simple,22,6,3,2,12
63.2.23.1,63,2,Group,Complex,23,1,2,1,20
63.2.23.1,63,2,Group,Complex,23,1,2,2,20
69.2.23.2,69,2,Group,Complex,23,2,3,1,20
69.2.23.2,69,2,Group,Complex,23,2,3,2,20
8.2.23.3,8,2,Group,Complex,23,3,3,1,3
8.2.23.3,8,2,Group,Complex,23,3,3,3,3
21.1.24.1,21,1,Group,Simple,24,1,4,1,8
21.1.24.1,21,1,Group,Simple,24,1,4,3,10
7.1.24.2,7,1,Group,Simple,24,2,3,1,5
7.1.24.2,7,1,Group,Simple,24,2,3,3,3
146.1.24.5,146,1,Group,Simple,24,5,2,2,4
146.1.24.5,146,1,Group,Simple,24,5,2,3,4
49.1.24.6,49,1,Group,Simple,24,6,3,1,3
49.1.24.6,49,1,Group,Simple,24,6,3,3,3
27.2.25.1,27,2,Group,Complex,25,1,2,1,18
27.2.25.1,27,2,Group,Complex,25,1,2,3,18
105.2.25.3,105,2,Group,Complex,25,3,3,2,5
105.2.25.3,105,2,Group,Complex,25,3,3,3,5
74.2.25.5,74,2,Group,Complex,25,5,5,1,7
74.2.25.5,74,2,Group,Complex,25,5,5,2,7
132.3.26.1,132,3,Pair,Simple,26,1,2,2,4
132.3.26.1,132,3,Pair,Simple,26,1,2,3,4
75.3.26.2,75,3,Pair,Simple,26,2,2,1,4
75.3.26.2,75,3,Pair,Simple,26,2,2,2,5
19.3.26.4,19,3,Pair,Simple,26,4,4,1,4
19.3.26.4,19,3,Pair,Simple,26,4,4,3,4
43.3.26.6,43,3,Pair,Simple,26,6,4,1,4
43.3.26.6,43,3,Pair,Simple,26,6,4,3,4
70.3.28.1,70,3,Pair,Simple,28,1,3,1,3
70.3.28.1,70,3,Pair,Simple,28,1,3,2,4
72.3.28.2,72,3,Pair,Simple,28,2,4,1,6
72.3.28.2,72,3,Pair,Simple,28,2,4,2,7
118.3.28.3,118,3,Pair,Simple,28,3,4,2,8
118.3.28.3,118,3,Pair,Simple,28,3,4,3,6
123.3.28.4,123,3,Pair,Simple,28,4,4,2,7
123.3.28.4,123,3,Pair,Simple,28,4,4,3,6
1.3.28.6,1,3,Pair,Simple,28,6,2,1,4
1.3.28.6,1,3,Pair,Simple,28,6,2,3,4
110.4.29.1,110,4,Pair,Complex,29,1,2,2,19
110.4.29.1,110,4,Pair,Complex,29,1,2,3,18
131.4.29.3,131,4,Pair,Complex,29,3,1,2,1
131.4.29.3,131,4,Pair,Complex,29,3,1,3,1
52.4.29.4,52,4,Pair,Complex,29,4,2,1,9
52.4.29.4,52,4,Pair,Complex,29,4,2,2,12
44.4.29.5,44,4,Pair,Complex,29,5,3,1,13
44.4.29.5,44,4,Pair,Complex,29,5,3,3,13
135.4.29.6,135,4,Pair,Complex,29,6,3,2,13
135.4.29.6,135,4,Pair,Complex,29,6,3,3,13
103.3.30.1,103,3,Pair,Simple,30,1,2,2,2
103.3.30.1,103,3,Pair,Simple,30,1,2,3,2
84.3.30.3,84,3,Pair,Simple,30,3,3,1,3
84.3.30.3,84,3,Pair,Simple,30,3,3,2,3
129.3.30.5,129,3,Pair,Simple,30,5,3,2,3
129.3.30.5,129,3,Pair,Simple,30,5,3,3,3
40.3.30.6,40,3,Pair,Simple,30,6,3,1,3
40.3.30.6,40,3,Pair,Simple,30,6,3,3,3
94.4.31.1,94,4,Pair,Complex,31,1,2,1,19
94.4.31.1,94,4,Pair,Complex,31,1,2,2,19
95.4.31.2,95,4,Pair,Complex,31,2,3,1,7
95.4.31.2,95,4,Pair,Complex,31,2,3,2,9
104.4.31.3,104,4,Pair,Complex,31,3,3,2,22
104.4.31.3,104,4,Pair,Complex,31,3,3,3,20
37.4.31.6,37,4,Pair,Complex,31,6,4,1,14
37.4.31.6,37,4,Pair,Complex,31,6,4,3,14
60.3.32.1,60,3,Pair,Simple,32,1,3,1,3
60.3.32.1,60,3,Pair,Simple,32,1,3,2,5
88.3.32.3,88,3,Pair,Simple,32,3,3,1,3
88.3.32.3,88,3,Pair,Simple,32,3,3,2,3
34.3.32.4,34,3,Pair,Simple,32,4,3,1,3
34.3.32.4,34,3,Pair,Simple,32,4,3,3,3
31.3.32.5,31,3,Pair,Simple,32,5,4,1,4
31.3.32.5,31,3,Pair,Simple,32,5,4,3,4
30.4.33.1,30,4,Pair,Complex,33,1,1,1,11
30.4.33.1,30,4,Pair,Complex,33,1,1,3,7
10.4.33.2,10,4,Pair,Complex,33,2,2,1,19
10.4.33.2,10,4,Pair,Complex,33,2,2,3,9
143.4.33.3,143,4,Pair,Complex,33,3,4,2,15
143.4.33.3,143,4,Pair,Complex,33,3,4,3,14
91.3.34.1,91,3,Pair,Simple,34,1,4,1,4
91.3.34.1,91,3,Pair,Simple,34,1,4,2,4
124.3.34.2,124,3,Pair,Simple,34,2,4,2,4
124.3.34.2,124,3,Pair,Simple,34,2,4,3,4
41.3.34.3,41,3,Pair,Simple,34,3,4,1,4
41.3.34.3,41,3,Pair,Simple,34,3,4,3,4
117.3.34.4,117,3,Pair,Simple,34,4,4,2,6
117.3.34.4,117,3,Pair,Simple,34,4,4,3,6
125.3.34.6,125,3,Pair,Simple,34,6,4,2,6
125.3.34.6,125,3,Pair,Simple,34,6,4,3,6
81.3.35.1,81,3,Pair,Simple,35,1,4,1,4
81.3.35.1,81,3,Pair,Simple,35,1,4,2,5
22.3.35.5,22,3,Pair,Simple,35,5,4,1,4
22.3.35.5,22,3,Pair,Simple,35,5,4,3,4
148.4.36.1,148,4,Pair,Complex,36,1,2,2,22
148.4.36.1,148,4,Pair,Complex,36,1,2,3,22
16.4.36.2,16,4,Pair,Complex,36,2,3,1,13
16.4.36.2,16,4,Pair,Complex,36,2,3,3,13
78.4.36.4,78,4,Pair,Complex,36,4,1,1,1
78.4.36.4,78,4,Pair,Complex,36,4,1,2,2
141.4.36.5,141,4,Pair,Complex,36,5,3,2,13
141.4.36.5,141,4,Pair,Complex,36,5,3,3,13
130.4.36.6,130,4,Pair,Complex,36,6,3,2,17
130.4.36.6,130,4,Pair,Complex,36,6,3,3,17
48.4.37.2,48,4,Pair,Complex,37,2,2,1,13
48.4.37.2,48,4,Pair,Complex,37,2,2,3,13
64.4.37.3,64,4,Pair,Complex,37,3,2,1,18
64.4.37.3,64,4,Pair,Complex,37,3,2,2,20
119.4.37.4,119,4,Pair,Complex,37,4,3,2,18
119.4.37.4,119,4,Pair,Complex,37,4,3,3,18
56.4.37.5,56,4,Pair,Complex,37,5,3,1,11
56.4.37.5,56,4,Pair,Complex,37,5,3,2,12
113.4.37.6,113,4,Pair,Complex,37,6,3,2,14
113.4.37.6,113,4,Pair,Complex,37,6,3,3,13
76.4.38.1,76,4,Pair,Complex,38,1,2,1,4
76.4.38.1,76,4,Pair,Complex,38,1,2,2,4
15.4.38.2,15,4,Pair,Complex,38,2,2,1,2
15.4.38.2,15,4,Pair,Complex,38,2,2,3,2
38.4.38.3,38,4,Pair,Complex,38,3,3,1,6
38.4.38.3,38,4,Pair,Complex,38,3,3,3,6
93.4.38.5,93,4,Pair,Complex,38,5,3,1,5
93.4.38.5,93,4,Pair,Complex,38,5,3,2,5
42.4.38.6,42,4,Pair,Complex,38,6,3,1,3
42.4.38.6,42,4,Pair,Complex,38,6,3,3,3
61.3.39.3,61,3,Pair,Simple,39,3,3,1,3
61.3.39.3,61,3,Pair,Simple,39,3,3,2,3
133.3.39.6,133,3,Pair,Simple,39,6,4,2,4
133.3.39.6,133,3,Pair,Simple,39,6,4,3,4
142.4.40.1,142,4,Pair,Complex,40,1,1,2,21
142.4.40.1,142,4,Pair,Complex,40,1,1,3,14
116.4.40.2,116,4,Pair,Complex,40,2,3,2,20
116.4.40.2,116,4,Pair,Complex,40,2,3,3,20
54.4.40.3,54,4,Pair,Complex,40,3,3,1,20
54.4.40.3,54,4,Pair,Complex,40,3,3,2,20
57.4.40.4,57,4,Pair,Complex,40,4,3,1,20
57.4.40.4,57,4,Pair,Complex,40,4,3,2,21
115.4.40.5,115,4,Pair,Complex,40,5,3,2,20
115.4.40.5,115,4,Pair,Complex,40,5,3,3,20
32.4.40.6,32,4,Pair,Complex,40,6,2,1,17
32.4.40.6,32,4,Pair,Complex,40,6,2,3,15
28.3.41.1,28,3,Pair,Simple,41,1,3,1,3
28.3.41.1,28,3,Pair,Simple,41,1,3,3,3
128.3.41.4,128,3,Pair,Simple,41,4,4,2,5
128.3.41.4,128,3,Pair,Simple,41,4,4,3,4
12.1.42.4,12,1,Group,Simple,42,4,3,1,5
12.1.42.4,12,1,Group,Simple,42,4,3,3,5
138.1.42.5,138,1,Group,Simple,42,5,2,2,2
138.1.42.5,138,1,Group,Simple,42,5,2,3,2
5.1.42.6,5,1,Group,Simple,42,6,2,1,2
5.1.42.6,5,1,Group,Simple,42,6,2,3,2
