"","Condition","GroupPair","StartStruc","Session","Generation","Height"
"69","Pr-C","Pair","Complex",37,3,47
"70","Pr-C","Pair","Complex",38,3,75
"71","Pr-C","Pair","Complex",40,3,80
"72","Pr-S","Pair","Simple",2,3,80
"73","Pr-S","Pair","Simple",5,3,95.5
"74","Pr-S","Pair","Simple",28,3,105
"75","Pr-S","Pair","Simple",30,3,81
"76","Pr-S","Pair","Simple",32,3,80
"77","Pr-S","Pair","Simple",34,3,107
"78","Pr-S","Pair","Simple",39,3,80
"79","Pr-S","Pair","Simple",41,3,70
"80","Gr-C","Group","Complex",6,4,78
"81","Gr-C","Group","Complex",7,4,59
"82","Gr-C","Group","Complex",11,4,80
"83","Gr-C","Group","Complex",13,4,57
"84","Gr-C","Group","Complex",15,4,78
"85","Gr-C","Group","Complex",19,4,100
"86","Gr-C","Group","Complex",25,4,91
"87","Gr-S","Group","Simple",8,4,80.5
"88","Gr-S","Group","Simple",10,4,103
"89","Gr-S","Group","Simple",12,4,97
"90","Gr-S","Group","Simple",14,4,69
"91","Gr-S","Group","Simple",20,4,105
"92","Gr-S","Group","Simple",42,4,67.5
"93","Pr-C","Pair","Complex",4,4,104
"94","Pr-C","Pair","Complex",17,4,51
"95","Pr-C","Pair","Complex",29,4,51
"96","Pr-C","Pair","Complex",36,4,46
"97","Pr-C","Pair","Complex",37,4,96.5
"98","Pr-C","Pair","Complex",40,4,53
"99","Pr-S","Pair","Simple",26,4,105
"100","Pr-S","Pair","Simple",28,4,104
"101","Pr-S","Pair","Simple",32,4,87
"102","Pr-S","Pair","Simple",34,4,105
"103","Pr-S","Pair","Simple",41,4,70
"104","Gr-C","Group","Complex",7,5,90
"105","Gr-C","Group","Complex",11,5,55
"106","Gr-C","Group","Complex",13,5,82.5
"107","Gr-C","Group","Complex",25,5,129
"108","Gr-S","Group","Simple",8,5,51
"109","Gr-S","Group","Simple",10,5,73
"110","Gr-S","Group","Simple",12,5,76
"111","Gr-S","Group","Simple",14,5,87
"112","Gr-S","Group","Simple",16,5,77
"113","Gr-S","Group","Simple",22,5,52
"114","Gr-S","Group","Simple",24,5,54
"115","Gr-S","Group","Simple",42,5,70
"116","Pr-C","Pair","Complex",4,5,100.5
"117","Pr-C","Pair","Complex",9,5,49.5
"118","Pr-C","Pair","Complex",17,5,77
"119","Pr-C","Pair","Complex",29,5,74
"120","Pr-C","Pair","Complex",36,5,73
"121","Pr-C","Pair","Complex",37,5,74
"122","Pr-C","Pair","Complex",38,5,77
"123","Pr-C","Pair","Complex",40,5,26
"124","Pr-S","Pair","Simple",2,5,78.5
"125","Pr-S","Pair","Simple",30,5,83.5
"126","Pr-S","Pair","Simple",32,5,105.5
"127","Pr-S","Pair","Simple",35,5,105
"128","Gr-C","Group","Complex",6,6,105
"129","Gr-C","Group","Complex",7,6,92
"130","Gr-C","Group","Complex",11,6,79
"131","Gr-C","Group","Complex",13,6,78.5
"132","Gr-C","Group","Complex",15,6,52.5
"133","Gr-C","Group","Complex",19,6,56
"134","Gr-C","Group","Complex",21,6,86
"135","Gr-S","Group","Simple",8,6,78
"136","Gr-S","Group","Simple",12,6,51
"137","Gr-S","Group","Simple",16,6,53
"138","Gr-S","Group","Simple",18,6,82
"139","Gr-S","Group","Simple",22,6,75
"140","Gr-S","Group","Simple",24,6,78
"141","Gr-S","Group","Simple",42,6,67.5
"142","Pr-C","Pair","Complex",9,6,47
"143","Pr-C","Pair","Complex",29,6,78
"144","Pr-C","Pair","Complex",31,6,103
"145","Pr-C","Pair","Complex",36,6,76
"146","Pr-C","Pair","Complex",37,6,76
"147","Pr-C","Pair","Complex",38,6,81
"148","Pr-C","Pair","Complex",40,6,105
"149","Pr-S","Pair","Simple",2,6,106
"150","Pr-S","Pair","Simple",5,6,104
"151","Pr-S","Pair","Simple",26,6,107
"152","Pr-S","Pair","Simple",28,6,43
"153","Pr-S","Pair","Simple",30,6,79
"154","Pr-S","Pair","Simple",34,6,105
"155","Pr-S","Pair","Simple",39,6,105
